"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code","sampling_unit_new"
"toledo","forest","control",6,20,2022,NA,"soil","apparent_density",NA,1.06687038451744,"AD(g/cm3)",NA,NA,"toledo/forest/control/6/20"
"toledo","scrub","control",65,0,2022,NA,"soil","apparent_density",NA,1.22658517952636,"AD(g/cm3)",NA,NA,"toledo/scrub/control/65/0"
"toledo","scrub","control",65,10,2022,NA,"soil","apparent_density",NA,1.425311942959,"AD(g/cm3)",NA,NA,"toledo/scrub/control/65/10"
"toledo","forest","control",8,0,2022,NA,"soil","apparent_density",NA,1.10119684237331,"AD(g/cm3)",NA,NA,"toledo/forest/control/8/0"
"toledo","forest","control",8,10,2022,NA,"soil","apparent_density",NA,0.936083524318818,"AD(g/cm3)",NA,NA,"toledo/forest/control/8/10"
"toledo","forest","control",8,20,2022,NA,"soil","apparent_density",NA,0.9004329004329,"AD(g/cm3)",NA,NA,"toledo/forest/control/8/20"
"valencia","scrub","control_high",16,10,2021,NA,"soil","apparent_density",NA,1.004329004329,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/16/10"
"valencia","scrub","control_high",13,0,2021,NA,"soil","apparent_density",NA,0.880061115355233,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/13/0"
"valencia","scrub","control_high",15,10,2021,NA,"soil","apparent_density",NA,0.882098293863,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/15/10"
"valencia","scrub","control_high",16,20,2021,NA,"soil","apparent_density",NA,0.956455309396486,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/16/20"
"valencia","scrub","control_high",16,0,2021,NA,"soil","apparent_density",NA,0.941176470588235,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/16/0"
"valencia","scrub","control_high",14,20,2021,NA,"soil","apparent_density",NA,0.967659791189203,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/14/20"
"valencia","scrub","control_high",14,0,2021,NA,"soil","apparent_density",NA,0.977845683728037,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/14/0"
"valencia","scrub","control_high",13,10,2021,NA,"soil","apparent_density",NA,1.06646294881589,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/13/10"
"valencia","scrub","control_high",15,0,2021,NA,"soil","apparent_density",NA,1.08377896613191,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/15/0"
"valencia","scrub","control_high",14,10,2021,NA,"soil","apparent_density",NA,1.09803921568627,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/14/10"
"valencia","scrub","control_high",13,20,2021,NA,"soil","apparent_density",NA,1.14795008912656,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/13/20"
"valencia","scrub","control_high",15,20,2021,NA,"soil","apparent_density",NA,1.19989814107461,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/15/20"
"valencia","scrub","control_hyper",6,10,2021,NA,"soil","apparent_density",NA,0.997198879551821,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/6/10"
"valencia","scrub","control_hyper",6,20,2021,NA,"soil","apparent_density",NA,0.998217468805704,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/6/20"
"valencia","scrub","control_hyper",6,0,2021,NA,"soil","apparent_density",NA,1.00534759358289,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/6/0"
