"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","valor","units","comments","author_code"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",27.87,NA,NA,"5CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.181,NA,NA,"5CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",36.742,NA,NA,"185CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.225,NA,NA,"185CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",40.569,NA,NA,"185CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.177,NA,NA,"185CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",42.405,NA,NA,"304CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.159,NA,NA,"304CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",34.81,NA,NA,"304CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.183,NA,NA,"304CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",41.575,NA,NA,"273CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.227,NA,NA,"273CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",35.022,NA,NA,"273CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.169,NA,NA,"273CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",32.566,NA,NA,"274CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.248,NA,NA,"274CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",25.813,NA,NA,"274CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.182,NA,NA,"274CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",37.481,NA,NA,"279CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.203,NA,NA,"279CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",21.539,NA,NA,"279CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.217,NA,NA,"279CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",42.528,NA,NA,"292CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.173,NA,NA,"292CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",37.104,NA,NA,"292CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.172,NA,NA,"292CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",40.098,NA,NA,"289CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.182,NA,NA,"289CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",34.834,NA,NA,"289CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.163,NA,NA,"289CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",45.779,NA,NA,"362CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.197,NA,NA,"362CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",35.063,NA,NA,"362CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.185,NA,NA,"362CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",35.974,NA,NA,"268CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.209,NA,NA,"268CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",22.628,NA,NA,"268CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.232,NA,NA,"268CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",46.88,NA,NA,"352CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.176,NA,NA,"352CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",30.242,NA,NA,"352CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.17,NA,NA,"352CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",42.18,NA,NA,"119CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.168,NA,NA,"119CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",29.958,NA,NA,"119CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.178,NA,NA,"119CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",28.37,NA,NA,"260CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.269,NA,NA,"260CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",31.347,NA,NA,"260CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.183,NA,NA,"260CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",32.084,NA,NA,"259CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.223,NA,NA,"259CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",20.875,NA,NA,"259CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.212,NA,NA,"259CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",44.107,NA,NA,"350CL"
