"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo",NA,"control",NA,"268","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",63.1121631539745,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"control",NA,"268","2022","2022_06_07","fuego","AEHC","cistus_ladanifer",4.73745315000618,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"control",NA,"268","2022","2022_06_07","fuego","THR","cistus_ladanifer",3.35328832996029,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"control",NA,"268","2022","2022_06_07","fuego","mean_MLR","cistus_ladanifer",0.134835383647799,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"control",NA,"358","2022","2022_06_07","fuego","FMC","cistus_ladanifer",129.6,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"control",NA,"358","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",111.920492913896,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"control",NA,"358","2022","2022_06_07","fuego","TTI","cistus_ladanifer",61,"Time to Ignition (s)",NA,NA
"toledo",NA,"control",NA,"358","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",68.7050926187856,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"control",NA,"358","2022","2022_06_07","fuego","AEHC","cistus_ladanifer",4.21297090654918,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"control",NA,"358","2022","2022_06_07","fuego","THR","cistus_ladanifer",3.03561012587771,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"control",NA,"358","2022","2022_06_07","fuego","mean_MLR","cistus_ladanifer",0.163244748323398,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"control",NA,"270(362)","2022","2022_06_07","fuego","FMC","cistus_ladanifer",107.2,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"control",NA,"270(362)","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",102.875408106848,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"control",NA,"270(362)","2022","2022_06_07","fuego","TTI","cistus_ladanifer",102,"Time to Ignition (s)",NA,NA
"toledo",NA,"control",NA,"270(362)","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",81.3402812280166,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"control",NA,"270(362)","2022","2022_06_07","fuego","AEHC","cistus_ladanifer",7.48969640127729,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"control",NA,"270(362)","2022","2022_06_07","fuego","THR","cistus_ladanifer",5.225800807967,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"control",NA,"270(362)","2022","2022_06_07","fuego","mean_MLR","cistus_ladanifer",0.110214955579502,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"control",NA,"432","2022","2022_06_07","fuego","FMC","cistus_ladanifer",116.5,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"control",NA,"432","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",33.4097730762867,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"control",NA,"432","2022","2022_06_07","fuego","TTI","cistus_ladanifer",32,"Time to Ignition (s)",NA,NA
"toledo",NA,"control",NA,"432","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",23.0118355428112,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"control",NA,"432","2022","2022_06_07","fuego","AEHC","cistus_ladanifer",4.31279863565101,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"control",NA,"432","2022","2022_06_07","fuego","THR","cistus_ladanifer",0.62108045628177,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"control",NA,"432","2022","2022_06_07","fuego","mean_MLR","cistus_ladanifer",0.0817706210937501,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"control",NA,"419","2022","2022_06_07","fuego","FMC","quercus_ilex",115.5,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"control",NA,"419","2022","2022_06_07","fuego","PHRR","quercus_ilex",139.810121541214,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"control",NA,"419","2022","2022_06_07","fuego","TTI","quercus_ilex",74,"Time to Ignition (s)",NA,NA
"toledo",NA,"control",NA,"419","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",95.4048491533572,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"control",NA,"419","2022","2022_06_07","fuego","AEHC","quercus_ilex",7.73361521114258,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"control",NA,"419","2022","2022_06_07","fuego","THR","quercus_ilex",7.74707146504096,"Total Heat Release (MJ/m²)",NA,NA
