"Cercado.x" "ID" "OLD_Chl" "OLD_Chl_sd" "OLD_Flav" "OLD_Flav_sd" "OLD_Anth" "OLD_Anth_sd" "OLD_NBI" "OLD_NBI_sd" "NEW_Chl" "NEW_Chl_sd" "NEW_Flav" "NEW_Flav_sd" "NEW_Anth" "NEW_Anth_sd" "NEW_NBI" "NEW_NBI_sd" "Year" "Full_ID" "Specie"
"102" "B" "196QI" "35.455" "2.331" "2.252" "0.134" "0.247" "0.034" "15.762" "0.959" 37.419 "1.661" "1.898" "0.044" "0.199" "0.013" "19.731" "1.094" "2021" "21_QM_B_196QI" "QI"
"103" "B" "195QI" "36.253" "11.009" "1.829" "0.262" "0.209" "0.055" "19.393" "3.802" 37.142 "2.653" "1.938" "0.028" "0.174" "0.013" "19.164" "1.401" "2021" "21_QM_B_195QI" "QI"
"104" "B" "192QI" "41.64" "5.14" "1.921" "0.041" "0.214" "0.045" "21.719" "3.078" 36.338 "1.671" "1.897" "0.046" "0.189" "0.016" "19.159" "0.981" "2021" "21_QM_B_192QI" "QI"
"105" "B" "191QI" "33.333" "5.522" "2.08" "0.073" "0.329" "0.029" "16.008" "2.459" 39.019 "1.843" "1.92" "0.045" "0.176" "0.006" "20.346" "1.283" "2021" "21_QM_B_191QI" "QI"
"106" "B" "187QI" "22.718" "6.903" "1.883" "0.146" "0.332" "0.104" "11.962" "3.101" 36.655 "5.96" "1.959" "0.058" "0.193" "0.037" "18.766" "3.364" "2021" "21_QM_B_187QI" "QI"
"107" "B" "197QI" "50.127" "2.883" "2.046" "0.092" "0.179" "0.035" "24.528" "1.643" 44.468 "3.767" "1.934" "0.103" "0.211" "0.042" "23.088" "2.805" "2021" "21_QM_B_197QI" "QI"
"108" "B" "190QI" "36.201" "2.875" "1.979" "0.14" "0.292" "0.049" "18.304" "1.085" 35.909 "2.655" "1.928" "0.028" "0.191" "0.01" "18.62" "1.291" "2021" "21_QM_B_190QI" "QI"
"109" "B" "189QI" "53.143" "4.041" "2.01" "0.137" "0.193" "0.031" "26.488" "1.913" 49.46 "2.495" "1.942" "0.018" "0.16" "0.023" "25.478" "1.45" "2021" "21_QM_B_189QI" "QI"
"110" "B" "182QI" "43.233" "4.113" "1.967" "0.049" "0.236" "0.033" "22.023" "2.51" 40.965 "2.562" "1.944" "0.06" "0.183" "0.012" "21.061" "0.957" "2021" "21_QM_B_182QI" "QI"
"111" "B" "175QI" "41.146" "3.953" "1.906" "0.055" "0.192" "0.026" "21.638" "2.491" 30.451 "4.679" "1.953" "0.043" "0.23" "0.025" "15.621" "2.629" "2021" "21_QM_B_175QI" "QI"
"112" "B" "177QI" "53.292" "3.31" "2.005" "0.061" "0.17" "0.017" "26.621" "2.176" 29.847 "2.796" "1.896" "0.149" "0.24" "0.023" "15.892" "2.685" "2021" "21_QM_B_177QI" "QI"
"113" "B" "178QI" "47.887" "4.225" "1.966" "0.048" "0.215" "0.021" "24.372" "2.274" 30.82 "10.023" "1.991" "0.072" "0.265" "0.053" "15.468" "5.04" "2021" "21_QM_B_178QI" "QI"
"114" "B" "179QI" "39.755" "3.174" "2.001" "0.056" "0.2" "0.023" "19.899" "1.907" 37.923 "2.915" "1.968" "0.084" "0.183" "0.019" "19.265" "0.993" "2021" "21_QM_B_179QI" "QI"
"115" "B" "171QI" "25.113" "4.361" "2.041" "0.118" "0.316" "0.084" "12.409" "2.729" 28.674 "1.766" "1.985" "0.054" "0.262" "0.013" "14.442" "0.707" "2021" "21_QM_B_171QI" "QI"
"116" "B" "168QI" "34.781" "1.41" "2.138" "0.089" "0.23" "0.053" "16.296" "1.066" 27.655 "5.145" "1.88" "0.056" "0.243" "0.031" "14.728" "2.832" "2021" "21_QM_B_168QI" "QI"
"117" "B" "166QI" "29.405" "3.179" "2.024" "0.083" "0.257" "0.03" "14.547" "1.595" 26.055 "4.479" "1.972" "0.09" "0.261" "0.026" "13.208" "2.109" "2021" "21_QM_B_166QI" "QI"
"118" "B" "198QI" "43.036" "1.531" "2.007" "0.081" "0.192" "0.012" "21.46" "0.973" 36.399 "3.027" "1.877" "0.02" "0.202" "0.013" "19.386" "1.56" "2021" "21_QM_B_198QI" "QI"
