"site","treatment","sampling_unit","year","observation","level","sampling_unit_new"
"valencia","control_hyper","trap_5",2021,0,"raton","valencia/control_hyper/trap_5/2021"
"toledo","high","trap_5",2021,66.6666666666667,"raton","toledo/high/trap_5/2021"
"valencia","high","trap_5",2021,0,"raton","valencia/high/trap_5/2021"
"toledo","hyper","trap_5",2021,0,"raton","toledo/hyper/trap_5/2021"
"valencia","hyper","trap_5",2021,0,"raton","valencia/hyper/trap_5/2021"
"toledo","high","trap_50",2021,33.3333333333333,"raton","toledo/high/trap_50/2021"
"toledo","hyper","trap_50",2021,33.3333333333333,"raton","toledo/hyper/trap_50/2021"
"toledo","high","trap_51",2021,100,"raton","toledo/high/trap_51/2021"
"toledo","hyper","trap_51",2021,33.3333333333333,"raton","toledo/hyper/trap_51/2021"
"toledo","high","trap_52",2021,0,"raton","toledo/high/trap_52/2021"
"toledo","hyper","trap_52",2021,0,"raton","toledo/hyper/trap_52/2021"
"toledo","high","trap_53",2021,33.3333333333333,"raton","toledo/high/trap_53/2021"
"toledo","hyper","trap_53",2021,66.6666666666667,"raton","toledo/hyper/trap_53/2021"
"toledo","high","trap_54",2021,0,"raton","toledo/high/trap_54/2021"
"toledo","hyper","trap_54",2021,100,"raton","toledo/hyper/trap_54/2021"
"toledo","high","trap_55",2021,33.3333333333333,"raton","toledo/high/trap_55/2021"
"toledo","hyper","trap_55",2021,0,"raton","toledo/hyper/trap_55/2021"
"toledo","high","trap_56",2021,33.3333333333333,"raton","toledo/high/trap_56/2021"
"toledo","hyper","trap_56",2021,33.3333333333333,"raton","toledo/hyper/trap_56/2021"
"toledo","high","trap_57",2021,66.6666666666667,"raton","toledo/high/trap_57/2021"
"toledo","hyper","trap_57",2021,0,"raton","toledo/hyper/trap_57/2021"
"toledo","high","trap_58",2021,100,"raton","toledo/high/trap_58/2021"
"toledo","hyper","trap_58",2021,0,"raton","toledo/hyper/trap_58/2021"
"toledo","high","trap_59",2021,66.6666666666667,"raton","toledo/high/trap_59/2021"
"toledo","hyper","trap_59",2021,33.3333333333333,"raton","toledo/hyper/trap_59/2021"
"toledo","control","trap_6",2021,66.6666666666667,"raton","toledo/control/trap_6/2021"
"valencia","control_high","trap_6",2021,33.3333333333333,"raton","valencia/control_high/trap_6/2021"
"valencia","control_hyper","trap_6",2021,0,"raton","valencia/control_hyper/trap_6/2021"
"toledo","high","trap_6",2021,33.3333333333333,"raton","toledo/high/trap_6/2021"
"valencia","high","trap_6",2021,33.3333333333333,"raton","valencia/high/trap_6/2021"
"toledo","hyper","trap_6",2021,66.6666666666667,"raton","toledo/hyper/trap_6/2021"
"valencia","hyper","trap_6",2021,66.6666666666667,"raton","valencia/hyper/trap_6/2021"
"toledo","high","trap_60",2021,66.6666666666667,"raton","toledo/high/trap_60/2021"
"toledo","hyper","trap_60",2021,0,"raton","toledo/hyper/trap_60/2021"
"toledo","high","trap_61",2021,66.6666666666667,"raton","toledo/high/trap_61/2021"
"toledo","hyper","trap_61",2021,33.3333333333333,"raton","toledo/hyper/trap_61/2021"
"toledo","high","trap_62",2021,66.6666666666667,"raton","toledo/high/trap_62/2021"
"toledo","high","trap_63",2021,33.3333333333333,"raton","toledo/high/trap_63/2021"
"toledo","control","trap_7",2021,66.6666666666667,"raton","toledo/control/trap_7/2021"
"valencia","control_high","trap_7",2021,0,"raton","valencia/control_high/trap_7/2021"
"valencia","control_hyper","trap_7",2021,0,"raton","valencia/control_hyper/trap_7/2021"
