"site","habitat","treatment","sampling_unit","indice","valor"
"toledo",NA,"hyper","T99_P12","delta_riqueza",2
"toledo",NA,"hyper","T99_P12","delta_shannon",0.575818710369508
"toledo",NA,"hyper","T99_P12","delta_simpson",0.263246554146296
"toledo",NA,"hyper","T99_P2","delta_abundancia",83
"toledo",NA,"hyper","T99_P2","delta_riqueza",2
"toledo",NA,"hyper","T99_P2","delta_shannon",1.35061547277319
"toledo",NA,"hyper","T99_P2","delta_simpson",1.00200094855985
"toledo",NA,"hyper","T99_P3","delta_abundancia",40
"toledo",NA,"hyper","T99_P3","delta_riqueza",1
"toledo",NA,"hyper","T99_P3","delta_shannon",1.37041864970893
"toledo",NA,"hyper","T99_P3","delta_simpson",1.09040860839525
"toledo",NA,"hyper","T99_P4","delta_abundancia",43
"toledo",NA,"hyper","T99_P4","delta_riqueza",3
"toledo",NA,"hyper","T99_P4","delta_shannon",1.28426220202502
"toledo",NA,"hyper","T99_P4","delta_simpson",1.12600495691812
"toledo",NA,"hyper","T99_P5","delta_abundancia",32
"toledo",NA,"hyper","T99_P5","delta_riqueza",1
"toledo",NA,"hyper","T99_P5","delta_shannon",1.16375532561391
"toledo",NA,"hyper","T99_P5","delta_simpson",0.834813608628134
"toledo",NA,"hyper","T99_P6","delta_abundancia",94
"toledo",NA,"hyper","T99_P6","delta_riqueza",1
"toledo",NA,"hyper","T99_P6","delta_shannon",0.673140965364637
"toledo",NA,"hyper","T99_P6","delta_simpson",0.644556698946167
"toledo",NA,"hyper","T99_P7","delta_abundancia",47
"toledo",NA,"hyper","T99_P7","delta_riqueza",2
"toledo",NA,"hyper","T99_P7","delta_shannon",1.12574113524405
"toledo",NA,"hyper","T99_P7","delta_simpson",1.05420070002004
"toledo",NA,"hyper","T99_P8","delta_abundancia",-103
"toledo",NA,"hyper","T99_P8","delta_riqueza",0
"toledo",NA,"hyper","T99_P8","delta_shannon",0.340046042822395
"toledo",NA,"hyper","T99_P8","delta_simpson",0.269138404914665
"toledo",NA,"hyper","T99_P9","delta_abundancia",18
"toledo",NA,"hyper","T99_P9","delta_riqueza",-1
"toledo",NA,"hyper","T99_P9","delta_shannon",-0.262457614180525
"toledo",NA,"hyper","T99_P9","delta_simpson",-0.10886400814747
"valencia",NA,"controlhigh","T1_P1","delta_abundancia",-90
"valencia",NA,"controlhigh","T1_P1","delta_riqueza",3
"valencia",NA,"controlhigh","T1_P1","delta_shannon",1.62344427050461
"valencia",NA,"controlhigh","T1_P1","delta_simpson",1.03675726117792
"valencia",NA,"controlhigh","T1_P2","delta_abundancia",-100
"valencia",NA,"controlhigh","T1_P2","delta_riqueza",-2
"valencia",NA,"controlhigh","T1_P2","delta_shannon",1.59059747135389
"valencia",NA,"controlhigh","T1_P2","delta_simpson",1.40415459196994
"valencia",NA,"controlhigh","T1_P3","delta_abundancia",-61
"valencia",NA,"controlhigh","T1_P3","delta_riqueza",-1
"valencia",NA,"controlhigh","T1_P3","delta_shannon",0.888814527141274
"valencia",NA,"controlhigh","T1_P3","delta_simpson",0.700796847851753
"valencia",NA,"controlhigh","T2_P1","delta_abundancia",-22
"valencia",NA,"controlhigh","T2_P1","delta_riqueza",1
"valencia",NA,"controlhigh","T2_P1","delta_shannon",0.859359357106599
"valencia",NA,"controlhigh","T2_P1","delta_simpson",0.662577939051245
"valencia",NA,"controlhigh","T2_P2","delta_abundancia",-20
"valencia",NA,"controlhigh","T2_P2","delta_riqueza",-5
"valencia",NA,"controlhigh","T2_P2","delta_shannon",-1.49822455043502
"valencia",NA,"controlhigh","T2_P2","delta_simpson",-0.729242104881527
"valencia",NA,"controlhigh","T2_P3","delta_abundancia",-33
